id,test_num,train_num,test_props,train_props,preds
0,8,64,0.009569378,0.009580838,0.625
1,8,58,0.009569378,0.008682635,0.875
2,6,52,0.007177033,0.007784431,0.5
3,8,63,0.009569378,0.009431138,0.75
4,10,77,0.011961722,0.011526946,0.8
5,8,64,0.009569378,0.009580838,1
6,7,50,0.008373206,0.00748503,0.428571429
7,8,66,0.009569378,0.00988024,1
8,4,34,0.004784689,0.00508982,0
9,6,50,0.007177033,0.00748503,0.5
10,9,66,0.01076555,0.00988024,0.444444444
11,9,66,0.01076555,0.00988024,0.222222222
12,6,46,0.007177033,0.006886228,0.333333333
13,9,69,0.01076555,0.010329341,0.777777778
14,10,73,0.011961722,0.010928144,1
15,8,59,0.009569378,0.008832335,0.625
16,8,62,0.009569378,0.009281437,0.625
17,7,50,0.008373206,0.00748503,0.857142857
18,6,48,0.007177033,0.007185629,0.833333333
19,8,62,0.009569378,0.009281437,0.75
20,8,64,0.009569378,0.009580838,0.75
21,6,47,0.007177033,0.007035928,0.166666667
22,8,65,0.009569378,0.009730539,0.875
23,8,62,0.009569378,0.009281437,0.875
24,4,37,0.004784689,0.005538922,0.75
25,5,41,0.005980861,0.006137725,0.6
26,8,64,0.009569378,0.009580838,1
27,4,35,0.004784689,0.005239521,0.5
28,10,74,0.011961722,0.011077844,0.6
29,7,52,0.008373206,0.007784431,0.571428571
30,7,56,0.008373206,0.008383234,1
31,8,65,0.009569378,0.009730539,0.5
32,5,45,0.005980861,0.006736527,0.8
33,8,64,0.009569378,0.009580838,0.5
34,6,53,0.007177033,0.007934132,0.333333333
35,8,65,0.009569378,0.009730539,0.75
36,6,50,0.007177033,0.00748503,0.833333333
37,7,57,0.008373206,0.008532934,0.714285714
38,9,69,0.01076555,0.010329341,1
39,7,53,0.008373206,0.007934132,1
40,9,69,0.01076555,0.010329341,0.333333333
41,8,63,0.009569378,0.009431138,0.625
42,6,50,0.007177033,0.00748503,0.666666667
43,8,64,0.009569378,0.009580838,0.875
44,7,53,0.008373206,0.007934132,0.428571429
45,9,67,0.01076555,0.01002994,0.555555556
46,7,54,0.008373206,0.008083832,0.714285714
47,7,54,0.008373206,0.008083832,0.428571429
48,6,50,0.007177033,0.00748503,0.833333333
49,6,50,0.007177033,0.00748503,0.833333333
50,8,62,0.009569378,0.009281437,0.75
51,6,49,0.007177033,0.007335329,1
52,6,47,0.007177033,0.007035928,0.666666667
53,7,57,0.008373206,0.008532934,0.571428571
54,7,50,0.008373206,0.00748503,0.428571429
55,9,65,0.01076555,0.009730539,0.222222222
56,9,71,0.01076555,0.010628743,0.555555556
57,7,50,0.008373206,0.00748503,0
58,6,47,0.007177033,0.007035928,0.333333333
59,8,60,0.009569378,0.008982036,0.875
60,8,61,0.009569378,0.009131737,0.25
61,6,53,0.007177033,0.007934132,0.166666667
62,7,53,0.008373206,0.007934132,0.142857143
63,5,39,0.005980861,0.005838323,0.6
64,5,42,0.005980861,0.006287425,0
65,4,33,0.004784689,0.00494012,0.5
66,4,34,0.004784689,0.00508982,0
67,8,63,0.009569378,0.009431138,0.75
68,7,51,0.008373206,0.007634731,0.428571429
69,6,47,0.007177033,0.007035928,0.666666667
70,8,62,0.009569378,0.009281437,0.125
71,6,48,0.007177033,0.007185629,0.5
72,5,42,0.005980861,0.006287425,0.2
73,5,41,0.005980861,0.006137725,0.6
74,5,44,0.005980861,0.006586826,0.4
75,8,64,0.009569378,0.009580838,0.5
76,5,43,0.005980861,0.006437126,0.6
77,5,40,0.005980861,0.005988024,0.2
78,8,59,0.009569378,0.008832335,0.875
79,5,46,0.005980861,0.006886228,0.8
80,7,56,0.008373206,0.008383234,0.714285714
81,8,61,0.009569378,0.009131737,0.375
82,6,46,0.007177033,0.006886228,1
83,6,50,0.007177033,0.00748503,0.666666667
84,4,37,0.004784689,0.005538922,0
85,7,53,0.008373206,0.007934132,0.285714286
86,8,66,0.009569378,0.00988024,0.75
87,6,51,0.007177033,0.007634731,0.333333333
88,7,53,0.008373206,0.007934132,0.571428571
89,8,58,0.009569378,0.008682635,0.875
90,7,57,0.008373206,0.008532934,0.857142857
91,5,44,0.005980861,0.006586826,0.4
92,4,35,0.004784689,0.005239521,0.75
93,5,44,0.005980861,0.006586826,0.8
94,6,49,0.007177033,0.007335329,0.5
95,5,43,0.005980861,0.006437126,0.8
96,6,50,0.007177033,0.00748503,0.666666667
97,5,46,0.005980861,0.006886228,0.8
98,5,42,0.005980861,0.006287425,0
99,4,34,0.004784689,0.00508982,0
100,6,48,0.007177033,0.007185629,1
101,3,29,0.003588517,0.004341317,0.333333333
102,7,58,0.008373206,0.008682635,0.857142857
103,5,42,0.005980861,0.006287425,1
104,4,31,0.004784689,0.004640719,1
105,6,50,0.007177033,0.00748503,0.833333333
106,6,46,0.007177033,0.006886228,0.5
107,3,26,0.003588517,0.003892216,0
108,5,45,0.005980861,0.006736527,0.2
109,4,33,0.004784689,0.00494012,0
110,5,44,0.005980861,0.006586826,0
111,7,54,0.008373206,0.008083832,0.285714286
112,5,39,0.005980861,0.005838323,0.8
113,4,35,0.004784689,0.005239521,0.25
114,8,63,0.009569378,0.009431138,0.875
115,4,30,0.004784689,0.004491018,0.5
116,6,48,0.007177033,0.007185629,0.666666667
117,7,53,0.008373206,0.007934132,0.714285714
118,4,31,0.004784689,0.004640719,0.5
119,5,39,0.005980861,0.005838323,1
120,3,28,0.003588517,0.004191617,0
121,4,32,0.004784689,0.004790419,0.25
122,5,44,0.005980861,0.006586826,0.6
123,6,50,0.007177033,0.00748503,1
124,4,34,0.004784689,0.00508982,0.25
125,3,30,0.003588517,0.004491018,0.666666667
126,5,41,0.005980861,0.006137725,0
127,4,30,0.004784689,0.004491018,0
