id,success,succ_prop
0,5,0.625
1,7,0.875
2,3,0.5
3,6,0.75
4,8,0.8
5,8,1.0
6,3,0.42857142857142855
7,8,1.0
8,0,0.0
9,3,0.5
10,4,0.4444444444444444
11,2,0.2222222222222222
12,2,0.3333333333333333
13,7,0.7777777777777778
14,10,1.0
15,5,0.625
16,5,0.625
17,6,0.8571428571428571
18,5,0.8333333333333334
19,6,0.75
20,6,0.75
21,1,0.16666666666666666
22,7,0.875
23,7,0.875
24,3,0.75
25,3,0.6
26,8,1.0
27,2,0.5
28,6,0.6
29,4,0.5714285714285714
30,7,1.0
31,4,0.5
32,4,0.8
33,4,0.5
34,2,0.3333333333333333
35,6,0.75
36,5,0.8333333333333334
37,5,0.7142857142857143
38,9,1.0
39,7,1.0
40,3,0.3333333333333333
41,5,0.625
42,4,0.6666666666666666
43,7,0.875
44,3,0.42857142857142855
45,5,0.5555555555555556
46,5,0.7142857142857143
47,3,0.42857142857142855
48,5,0.8333333333333334
49,5,0.8333333333333334
50,6,0.75
51,6,1.0
52,4,0.6666666666666666
53,4,0.5714285714285714
54,3,0.42857142857142855
55,2,0.2222222222222222
56,5,0.5555555555555556
57,0,0.0
58,2,0.3333333333333333
59,7,0.875
60,2,0.25
61,1,0.16666666666666666
62,1,0.14285714285714285
63,3,0.6
64,0,0.0
65,2,0.5
66,0,0.0
67,6,0.75
68,3,0.42857142857142855
69,4,0.6666666666666666
70,1,0.125
71,3,0.5
72,1,0.2
73,3,0.6
74,2,0.4
75,4,0.5
76,3,0.6
77,1,0.2
78,7,0.875
79,4,0.8
80,5,0.7142857142857143
81,3,0.375
82,6,1.0
83,4,0.6666666666666666
84,0,0.0
85,2,0.2857142857142857
86,6,0.75
87,2,0.3333333333333333
88,4,0.5714285714285714
89,7,0.875
90,6,0.8571428571428571
91,2,0.4
92,3,0.75
93,4,0.8
94,3,0.5
95,4,0.8
96,4,0.6666666666666666
97,4,0.8
98,0,0.0
99,0,0.0
100,6,1.0
101,1,0.3333333333333333
102,6,0.8571428571428571
103,5,1.0
104,4,1.0
105,5,0.8333333333333334
106,3,0.5
107,0,0.0
108,1,0.2
109,0,0.0
110,0,0.0
111,2,0.2857142857142857
112,4,0.8
113,1,0.25
114,7,0.875
115,2,0.5
116,4,0.6666666666666666
117,5,0.7142857142857143
118,2,0.5
119,5,1.0
120,0,0.0
121,1,0.25
122,3,0.6
123,6,1.0
124,1,0.25
125,2,0.6666666666666666
126,0,0.0
127,0,0.0
128,3,0.5
129,1,0.2
130,0,0.0
131,3,1.0
132,2,0.5
